fecha,ultimo,apert,dif,max,min,vol
05-feb-2018,5.779,5.785,-1.2811752648,5.864,5.755,43236198
02-feb-2018,5.854,5.905,-1.4643999327,5.951,5.835,39330274
01-feb-2018,5.941,6.06,-0.7019889687,6.063,5.904,42188495
31-ene-2018,5.983,5.97,0.8767492834,6.005,5.936,47551595
30-ene-2018,5.931,5.97,-0.9353599466,5.99,5.915,39306886
29-ene-2018,6.047,6.09,-0.1650982334,6.092,6.026,29665935
26-ene-2018,6.057,6.055,-0.3127057275,6.093,6.028,29050900
25-ene-2018,6.076,6,1.5713808091,6.079,6,42680438
24-ene-2018,5.982,6,-0.465890183,6.031,5.982,26687386
23-ene-2018,6.01,6.08,-0.3977461054,6.09,5.97,38580104
22-ene-2018,6.034,5.95,1.7537942664,6.066,5.93,42709670
17-ene-2018,5.894,5.89,-0.7744107744,5.929,5.855,30184337
16-ene-2018,5.94,5.892,0.6779661017,5.965,5.871,35132155
15-ene-2018,5.9,5.904,-0.3041568097,5.938,5.883,25178316
12-ene-2018,5.918,5.93,0.101488498,5.975,5.892,37332384
11-ene-2018,5.912,5.84,1.2328767123,5.983,5.826,58025080
10-ene-2018,5.84,5.7,2.4202034374,5.848,5.692,56212338
09-ene-2018,5.702,5.685,0.1756851722,5.737,5.668,25173849
08-ene-2018,5.692,5.694,0.2995594714,5.734,5.665,30370694
05-ene-2018,5.675,5.66,0.6562610855,5.729,5.634,39946693
04-ene-2018,5.638,5.48,3.35472044,5.644,5.474,52842463
03-ene-2018,5.455,5.48,0.0183351669,5.48,5.422,33113605
28-dic-2017,5.511,5.551,-0.881294964,5.57,5.505,25218159
27-dic-2017,5.56,5.581,-0.6077940651,5.627,5.553,18033085
22-dic-2017,5.594,5.599,-2.1514780479,5.655,5.591,31550603
21-dic-2017,5.717,5.6,1.5272598118,5.732,5.591,32057440
20-dic-2017,5.631,5.679,-0.7403490217,5.687,5.597,24396519
19-dic-2017,5.673,5.654,0.0352671487,5.697,5.654,21486228
18-dic-2017,5.671,5.644,0.8357041252,5.674,5.622,39502703
14-dic-2017,5.616,5.636,-0.6896551724,5.698,5.59,32288063
13-dic-2017,5.655,5.65,-0.4751847941,5.722,5.648,24390833
12-dic-2017,5.682,5.657,0.8161816891,5.699,5.616,31662567
11-dic-2017,5.636,5.65,0.1065719361,5.683,5.625,30152178
08-dic-2017,5.63,5.579,1.7899114084,5.69,5.573,42448154
07-dic-2017,5.531,5.52,0.5453553899,5.55,5.47,24667730
06-dic-2017,5.501,5.53,-1.0255487585,5.535,5.458,38847505
05-dic-2017,5.558,5.6,-0.3406849561,5.605,5.541,25602646
04-dic-2017,5.577,5.58,1.3447210612,5.61,5.548,31373657
01-dic-2017,5.503,5.643,-2.4809498494,5.659,5.502,47280412
30-nov-2017,5.643,5.71,-1.0694249649,5.781,5.643,48377016
29-nov-2017,5.704,5.65,1.838957329,5.745,5.635,49785598
28-nov-2017,5.601,5.595,0.5024223937,5.624,5.561,18255041
27-nov-2017,5.573,5.54,0.2879251395,5.626,5.521,23121536
24-nov-2017,5.557,5.536,0.8164005806,5.621,5.518,25906748
23-nov-2017,5.512,5.469,0.2728761142,5.54,5.452,25323510
22-nov-2017,5.497,5.47,0.5487470276,5.554,5.47,21621917
21-nov-2017,5.467,5.484,-0.5638413969,5.558,5.464,25695844
20-nov-2017,5.498,5.474,0.3101623791,5.53,5.463,24827185
17-nov-2017,5.481,5.535,-0.9398156515,5.581,5.481,43341809
16-nov-2017,5.533,5.571,0.1085579881,5.628,5.523,30630012
15-nov-2017,5.527,5.41,1.2456493863,5.537,5.376,42980239
14-nov-2017,5.459,5.53,-1.3730803975,5.575,5.453,32758371
13-nov-2017,5.535,5.581,-0.5033255438,5.59,5.482,30447732
10-nov-2017,5.563,5.551,0.0899604174,5.632,5.546,34051447
09-nov-2017,5.558,5.606,-0.75,5.658,5.558,29511370
08-nov-2017,5.6,5.62,-0.3558718861,5.62,5.53,38852253
07-nov-2017,5.62,5.64,-0.3546099291,5.71,5.62,27652883
06-nov-2017,5.641,5.705,-1.2257047802,5.705,5.614,28629157
03-nov-2017,5.711,5.809,-1.8728522337,5.814,5.664,41062069
02-nov-2017,5.82,5.845,-0.1886468873,5.863,5.758,29415979
01-nov-2017,5.831,5.868,0.137386227,5.881,5.81,38822449
31-oct-2017,5.823,5.829,-0.0514933059,5.907,5.802,43328865
30-oct-2017,5.826,5.829,2.2464022464,5.849,5.777,47118161
27-oct-2017,5.698,5.8,-1.9783244452,5.836,5.647,59093196
26-oct-2017,5.813,5.598,3.2137784091,5.876,5.592,93406614
25-oct-2017,5.632,5.635,0.1244444444,5.73,5.605,49462330
24-oct-2017,5.63,5.54,1.6245487365,5.64,5.51,33461094
